País,Tarics,Descripción,Año,Exportaciones,Importaciones
Singapur,0704,Verduras y hortalizas,2013,20.15,nan
Singapur,0705,Verduras y hortalizas,2013,55.17,nan
Singapur,0706,Verduras y hortalizas,2013,34.72,nan
Singapur,0707,Verduras y hortalizas,2013,0.21,nan
Singapur,0708,Verduras y hortalizas,2013,nan,nan
Singapur,0803,Frutas y frutos secos,2013,nan,nan
Singapur,0804,Frutas y frutos secos,2013,22.11,2.22
Singapur,0805,Frutas y frutos secos,2013,251.74,nan
Singapur,0806,Frutas y frutos secos,2013,375.19,1.62
Singapur,0807,Frutas y frutos secos,2013,669.32,nan
Singapur,0808,Frutas y frutos secos,2013,5291.76,nan
Singapur,0809,Frutas y frutos secos,2013,397.91,nan
Singapur,0810,Frutas y frutos secos,2013,3038.81,nan
Singapur,1101,Cereales y harinas,2013,485.20,0.32
Singapur,1102,Cereales y harinas,2013,80.24,nan
Singapur,1103,Cereales y harinas,2013,19.85,nan
Singapur,1104,Cereales y harinas,2013,613.10,0.19
Singapur,0401,"Huevos, productos lácteos y miel",2013,9505.38,nan
Singapur,0402,"Huevos, productos lácteos y miel",2013,65201.67,2.10
Singapur,0403,"Huevos, productos lácteos y miel",2013,3803.78,0.21
Singapur,0404,"Huevos, productos lácteos y miel",2013,18450.05,0.00
Singapur,0405,"Huevos, productos lácteos y miel",2013,34291.58,nan
Singapur,0406,"Huevos, productos lácteos y miel",2013,14998.96,nan
Singapur,0407,"Huevos, productos lácteos y miel",2013,85.98,nan
Singapur,0408,"Huevos, productos lácteos y miel",2013,21.25,nan
Singapur,0409,"Huevos, productos lácteos y miel",2013,569.50,0.29
Singapur,1509,Aceites,2013,6190.16,0.05
Singapur,1511,Aceites,2013,0.16,4369.17
Singapur,1512,Aceites,2013,13906.11,nan
Singapur,2201,Bebidas,2013,7517.99,26.24
Singapur,2202,Bebidas,2013,10633.65,6728.52
Singapur,2203,Bebidas,2013,32190.69,1056.52
Singapur,2204,Bebidas,2013,286215.23,280.24
Singapur,2205,Bebidas,2013,456.77,nan
Singapur,2206,Bebidas,2013,644.25,0.02
Singapur,2207,Bebidas,2013,608.89,nan
Singapur,1803,Chocolates,2013,7322.91,203.19
Singapur,1804,Chocolates,2013,177.76,3498.74
Singapur,1805,Chocolates,2013,6588.29,3.60
Singapur,1905,Panaderia y pastelería,2013,20351.30,10770.43
Singapur,0201,Productos cárnicos,2014,631.23,nan
Singapur,0202,Productos cárnicos,2014,262.09,nan
Singapur,0203,Productos cárnicos,2014,62552.90,160.86
Singapur,0204,Productos cárnicos,2014,4.19,nan
Singapur,0205,Productos cárnicos,2014,84.37,nan
Singapur,0206,Productos cárnicos,2014,11004.85,nan
Singapur,0207,Productos cárnicos,2014,5941.92,3.79
Singapur,0208,Productos cárnicos,2014,50.71,nan
Singapur,0209,Productos cárnicos,2014,1600.69,4.36
Singapur,0210,Productos cárnicos,2014,5010.91,17.96
Singapur,0302,Pescados y mariscos,2014,652.46,nan
Singapur,0303,Pescados y mariscos,2014,3812.57,105.48
Singapur,0304,Pescados y mariscos,2014,4125.75,0.08
Singapur,0305,Pescados y mariscos,2014,969.02,nan
Singapur,0701,Verduras y hortalizas,2014,242.17,nan
Singapur,0702,Verduras y hortalizas,2014,804.64,nan
Singapur,0703,Verduras y hortalizas,2014,1680.66,nan
Singapur,0704,Verduras y hortalizas,2014,15.78,nan
Singapur,0705,Verduras y hortalizas,2014,125.82,nan
Singapur,0706,Verduras y hortalizas,2014,47.90,nan
Singapur,0707,Verduras y hortalizas,2014,1.70,nan
Singapur,0708,Verduras y hortalizas,2014,10.87,nan
